GenBank-Accn	Sequence-Length
JAKFHU010000003.1	290154
JAKFHU010000017.1	5272425
JAKFHU010000020.1	123089
JAKFHU010000063.1	277649
JAKFHU010000075.1	7747949
JAKFHU010000086.1	10410904
JAKFHU010000100.1	5073875
JAKFHU010000105.1	153271
JAKFHU010000110.1	892064
JAKFHU010000112.1	499233
JAKFHU010000117.1	17002979
JAKFHU010000124.1	114600
JAKFHU010000127.1	1875069
JAKFHU010000144.1	31777563
JAKFHU010000150.1	1904973
JAKFHU010000152.1	725529
JAKFHU010000160.1	19400855
JAKFHU010000162.1	3465551
JAKFHU010000163.1	133839
JAKFHU010000166.1	3303014
JAKFHU010000177.1	194339
JAKFHU010000193.1	6105111
JAKFHU010000194.1	1939641
JAKFHU010000207.1	153192
JAKFHU010000216.1	3825588
JAKFHU010000225.1	368674
JAKFHU010000226.1	1175807
JAKFHU010000237.1	251474
JAKFHU010000243.1	2454946
JAKFHU010000244.1	330852
JAKFHU010000258.1	15072780
JAKFHU010000259.1	187395
JAKFHU010000263.1	115607
JAKFHU010000270.1	2212311
JAKFHU010000271.1	2564137
JAKFHU010000277.1	1393564
JAKFHU010000283.1	647308
JAKFHU010000296.1	1679383
JAKFHU010000302.1	150294
JAKFHU010000303.1	557398
JAKFHU010000304.1	367952
JAKFHU010000306.1	266073
JAKFHU010000311.1	422386
JAKFHU010000316.1	15081579
JAKFHU010000322.1	34676228
JAKFHU010000325.1	211868
JAKFHU010000340.1	917839
JAKFHU010000341.1	4227930
JAKFHU010000353.1	24187500
JAKFHU010000378.1	1203157
JAKFHU010000379.1	2183929
JAKFHU010000380.1	7383073
JAKFHU010000384.1	2771176
JAKFHU010000403.1	2360436
JAKFHU010000413.1	6206158
JAKFHU010000425.1	10139825
JAKFHU010000428.1	18619240
JAKFHU010000432.1	7246809
JAKFHU010000434.1	1246319
JAKFHU010000441.1	470984
JAKFHU010000445.1	16154545
JAKFHU010000448.1	167494
JAKFHU010000452.1	389140
JAKFHU010000466.1	293205
JAKFHU010000475.1	15220545
JAKFHU010000485.1	59607007
JAKFHU010000487.1	19617557
JAKFHU010000500.1	379477
JAKFHU010000502.1	1331937
JAKFHU010000507.1	1036901
JAKFHU010000509.1	224413
JAKFHU010000516.1	828553
JAKFHU010000522.1	1565866
JAKFHU010000530.1	5769118
JAKFHU010000534.1	2206152
JAKFHU010000555.1	1000357
JAKFHU010000571.1	768004
JAKFHU010000573.1	673917
JAKFHU010000585.1	27172233
JAKFHU010000595.1	121066
JAKFHU010000596.1	985264
JAKFHU010000600.1	58178743
JAKFHU010000601.1	115456
JAKFHU010000605.1	1657316
JAKFHU010000610.1	131679
JAKFHU010000614.1	472330
JAKFHU010000615.1	596699
JAKFHU010000624.1	2282720
JAKFHU010000629.1	216880
JAKFHU010000633.1	4644801
JAKFHU010000640.1	361765
JAKFHU010000642.1	205431
JAKFHU010000650.1	1922833
JAKFHU010000651.1	187948
JAKFHU010000658.1	792228
JAKFHU010000661.1	6330856
JAKFHU010000664.1	121099
JAKFHU010000687.1	603407
JAKFHU010000689.1	379525
JAKFHU010000690.1	32642047
JAKFHU010000697.1	255415
JAKFHU010000714.1	336829
JAKFHU010000722.1	670763
JAKFHU010000725.1	3858181
JAKFHU010000726.1	26468456
JAKFHU010000729.1	9489114
JAKFHU010000733.1	238998
JAKFHU010000741.1	8476616
JAKFHU010000743.1	1086483
JAKFHU010000745.1	3484061
JAKFHU010000747.1	35098617
JAKFHU010000752.1	2301218
JAKFHU010000760.1	12879189
JAKFHU010000768.1	1562034
JAKFHU010000776.1	35132616
JAKFHU010000780.1	291554
JAKFHU010000781.1	143226
JAKFHU010000787.1	113394
JAKFHU010000795.1	4346780
JAKFHU010000798.1	114047
JAKFHU010000805.1	279811
JAKFHU010000809.1	224603
JAKFHU010000828.1	1640737
JAKFHU010000834.1	155645
JAKFHU010000845.1	276051
JAKFHU010000846.1	14984740
JAKFHU010000850.1	1213041
JAKFHU010000853.1	627557
JAKFHU010000863.1	912823
JAKFHU010000869.1	213344
JAKFHU010000873.1	429350
JAKFHU010000879.1	243319
JAKFHU010000882.1	3862105
JAKFHU010000886.1	813781
JAKFHU010000895.1	455035
JAKFHU010000896.1	506902
JAKFHU010000901.1	36186827
JAKFHU010000908.1	12281273
JAKFHU010000913.1	53585628
JAKFHU010000917.1	120512
JAKFHU010000934.1	1578187
JAKFHU010000935.1	223607
JAKFHU010000939.1	138163
JAKFHU010000942.1	1941204
JAKFHU010000943.1	333000
JAKFHU010000944.1	717386
JAKFHU010000962.1	180038
JAKFHU010000968.1	181658
JAKFHU010000969.1	291856
JAKFHU010000971.1	2756343
JAKFHU010000976.1	801354
JAKFHU010000977.1	2389328
JAKFHU010000978.1	40626810
JAKFHU010000979.1	791658
JAKFHU010000997.1	907895
JAKFHU010001003.1	163613
JAKFHU010001013.1	3201997
JAKFHU010001035.1	43877076
JAKFHU010001038.1	2994165
JAKFHU010001048.1	109673
JAKFHU010001054.1	1966342
JAKFHU010001057.1	3446750
JAKFHU010001066.1	4642030
JAKFHU010001069.1	392126
JAKFHU010001075.1	186388
JAKFHU010001078.1	827124
JAKFHU010001080.1	112459
JAKFHU010001098.1	1250378
JAKFHU010001110.1	125360
JAKFHU010001129.1	14396357
JAKFHU010001135.1	119797
JAKFHU010001144.1	606927
JAKFHU010001159.1	277893
JAKFHU010001167.1	2324966
JAKFHU010001168.1	321532
JAKFHU010001171.1	872968
JAKFHU010001178.1	5477486
JAKFHU010001185.1	100317
JAKFHU010001186.1	6412403
JAKFHU010001193.1	222327
JAKFHU010001194.1	979632
JAKFHU010001197.1	552794
JAKFHU010001198.1	2410792
JAKFHU010001201.1	404855
JAKFHU010001206.1	1653493
JAKFHU010001208.1	394705
JAKFHU010001209.1	67749801
JAKFHU010001217.1	248902
JAKFHU010001220.1	608961
JAKFHU010001223.1	5095161
JAKFHU010001224.1	6535551
JAKFHU010001244.1	33658774
JAKFHU010001248.1	2023361
JAKFHU010001250.1	192104
JAKFHU010001261.1	23401292
JAKFHU010001262.1	23369094
JAKFHU010001267.1	1229576
JAKFHU010001268.1	26203217
JAKFHU010001277.1	1051606
JAKFHU010001290.1	2918411
JAKFHU010001297.1	3429309
JAKFHU010001298.1	746808
JAKFHU010001322.1	160473
JAKFHU010001323.1	1900243
JAKFHU010001327.1	243218
JAKFHU010001333.1	324984
JAKFHU010001338.1	343386
JAKFHU010001340.1	160576
JAKFHU010001352.1	3287162
JAKFHU010001365.1	11483368
JAKFHU010001369.1	4811924
JAKFHU010001373.1	250458
JAKFHU010001376.1	327441
JAKFHU010001392.1	143662
JAKFHU010001401.1	708170
JAKFHU010001408.1	161779
JAKFHU010001409.1	6892585
JAKFHU010001420.1	724687
JAKFHU010001436.1	31464848
JAKFHU010001439.1	1008141
JAKFHU010001447.1	4687841
JAKFHU010001449.1	3429827
JAKFHU010001463.1	306739
JAKFHU010001467.1	781081
JAKFHU010001475.1	636727
JAKFHU010001478.1	2220078
JAKFHU010001482.1	11724488
JAKFHU010001500.1	117489
JAKFHU010001502.1	819427
JAKFHU010001521.1	1071209
